year,openalex_id,title,source,cited_by_count,note,decision
1923,https://openalex.org/W38878088,Modern electrical theorie,Monatshefte für Mathematik,0,no clear link to neural-network prehistory in title/source,ignore
1923,https://openalex.org/W1990960874,Note upon Holzinger's formula for the probable error.,Journal of Educational Psychology,0,no clear link to neural-network prehistory in title/source,ignore
1923,https://openalex.org/W3114752399,Systematic distribution of velocities,Observatory,0,no clear link to neural-network prehistory in title/source,ignore
1923,https://openalex.org/W2332009968,The Construction and Interpretation of Correlation Tables,The Journal of Educational Research,0,plausible statistical or probabilistic method prehistory,keep
1924,https://openalex.org/W1981409066,Certain Factors Affecting Telegraph Speed1,Bell System Technical Journal,418,"plausible information, communication, or signalling prehistory",keep
1924,https://openalex.org/W3149937367,Selective Circuits and Static Interference,Transactions of the American Institute of Electrical Engineers,8,"plausible logic, computation, circuit, or network prehistory",keep
1924,https://openalex.org/W2048997434,The phonic chronometer,Journal of Scientific Instruments,6,no clear link to neural-network prehistory in title/source,ignore
1924,https://openalex.org/W2010191325,An automatic and continuous recording balance,Journal of Scientific Instruments,5,no clear link to neural-network prehistory in title/source,ignore
1924,https://openalex.org/W2800350273,Untried Methods of Representing Frequency,Journal of the Royal Statistical Society Series A (Statistics in Society),5,no clear link to neural-network prehistory in title/source,ignore
1924,https://openalex.org/W2416851466,Correlation of the Auditory Digit Memory Span with General Intelligence.,PubMed,4,"plausible nervous-system, psychology, or learning prehistory",keep
1924,https://openalex.org/W4253146795,Untried Methods of Representing Frequency,Journal Of The Royal Statistical Society,3,no clear link to neural-network prehistory in title/source,ignore
1924,https://openalex.org/W4242968749,A General Mean-Value Theorem,Transactions of the American Mathematical Society,2,no clear link to neural-network prehistory in title/source,ignore
1924,https://openalex.org/W2045018048,Two Notes on Statistical Method.,Journal of Educational Psychology,2,plausible statistical or probabilistic method prehistory,keep
1924,https://openalex.org/W4231014208,MEASURING PERSONAL COMFORT WITH THE KATA THERMOMETER,American journal of public health,1,no clear link to neural-network prehistory in title/source,ignore
1924,https://openalex.org/W4237671072,On the Induction of Antirachitic Properties in Rations by Exposure to Light,Science,1,no clear link to neural-network prehistory in title/source,ignore
1924,https://openalex.org/W1979777857,XCIX. On Sommerfeld's and Landé's rules for classification of terms and Zeeman patterns in spectra,The London Edinburgh and Dublin Philosophical Magazine and Journal of Science,1,no clear link to neural-network prehistory in title/source,ignore
1924,https://openalex.org/W4242115701,Book Review: Vector Analysis,Bulletin of the American Mathematical Society,0,no clear link to neural-network prehistory in title/source,ignore
1924,https://openalex.org/W4248224488,Electrical Progress and its Unsolved Problems,Nature,0,no clear link to neural-network prehistory in title/source,ignore
1924,https://openalex.org/W4239637664,Photographs of Electrical Disturbances,Science,0,"plausible logic, computation, circuit, or network prehistory",keep
1924,https://openalex.org/W4253834986,Photographs of Electrical Disturbances,Science,0,"plausible logic, computation, circuit, or network prehistory",keep
1924,https://openalex.org/W2795820265,Predicting the Movements of Electrons,The Science News-Letter,0,no clear link to neural-network prehistory in title/source,ignore
1924,https://openalex.org/W2056067208,REVIEW: A Trealise on the Analysis of Spectra by W. M. Hicks,The Astrophysical Journal,0,no clear link to neural-network prehistory in title/source,ignore
1924,https://openalex.org/W1980386327,XCII. On the measurement of the natural frequency of an inductance coil at audio-frequency,The London Edinburgh and Dublin Philosophical Magazine and Journal of Science,0,no clear link to neural-network prehistory in title/source,ignore
1925,https://openalex.org/W2318400860,The Determination of Memory Span by the Method of Constant Stimuli,The American Journal of Psychology,44,"plausible nervous-system, psychology, or learning prehistory",keep
1925,https://openalex.org/W4233215570,"Bayes' Theorem, Examined in the Light of Experimental Sampling",Biometrika,13,no clear link to neural-network prehistory in title/source,ignore
1925,https://openalex.org/W2091038020,An Automatic Correlation Calculating Machine,Journal of the American Statistical Association,11,"plausible logic, computation, circuit, or network prehistory",keep
1925,https://openalex.org/W2316588899,Mathematical Analysis of Statistics.,American Mathematical Monthly,3,plausible statistical or probabilistic method prehistory,keep
1925,https://openalex.org/W4229922936,An Automatic Correlation Calculating Machine,Journal of the American Statistical Association,1,"plausible logic, computation, circuit, or network prehistory",keep
1925,https://openalex.org/W2734841149,Imhoff Tanks — Reasons for Differences in Behavior,Transactions of the American Society of Civil Engineers,1,"plausible nervous-system, psychology, or learning prehistory",keep
1925,https://openalex.org/W3048277372,On the undumped Herz's waves,Časopis pro pěstování matematiky a fysiky,1,no clear link to neural-network prehistory in title/source,ignore
1925,https://openalex.org/W4246150023,An automatic and continuous recording balance,Journal of the Franklin Institute,0,no clear link to neural-network prehistory in title/source,ignore
1925,https://openalex.org/W2015411547,Elements of Statistics.,Journal of the American Statistical Association,0,plausible statistical or probabilistic method prehistory,keep
1925,https://openalex.org/W4232424011,GENERAL ANF APPLIED CHAEMISTRY,AJN American Journal of Nursing,0,no clear link to neural-network prehistory in title/source,ignore
1925,https://openalex.org/W4251345270,On First Power Methods of Finding Correlation,Biometrika,0,plausible statistical or probabilistic method prehistory,keep
1925,https://openalex.org/W2352443710,On Formulae for Temperature Effects.,Journal of Applied Entomology,0,no clear link to neural-network prehistory in title/source,ignore
1925,https://openalex.org/W2545811692,Some Practical Points relative to Control of Rosy Aphis.,,0,"plausible logic, computation, circuit, or network prehistory",keep
1925,https://openalex.org/W2405864967,Two Special Uses of Ordinary Electric Currents.,PubMed,0,no clear link to neural-network prehistory in title/source,ignore
1926,https://openalex.org/W2312446715,"On Fredholm's Integral Equations, Whose Kernels are Analytic in a Parameter",Annals of Mathematics,57,no clear link to neural-network prehistory in title/source,ignore
1926,https://openalex.org/W2065137536,Variations of the product-moment (Pearson) coefficient of correlation.,Journal of Educational Psychology,7,plausible statistical or probabilistic method prehistory,keep
1926,https://openalex.org/W29539415,GRAPHICAL INTERPRETATION OF ELECTROMETRIC TITRATION DATA BY USE OF COMPARISON CURVES,Journal of Biological Chemistry,5,"plausible logic, computation, circuit, or network prehistory",keep
1926,https://openalex.org/W2011016704,Control experiments in relation to identification of speech sounds by aid of tactual cues.,Journal of Abnormal & Social Psychology,4,"plausible logic, computation, circuit, or network prehistory",keep
1926,https://openalex.org/W2062796794,The general idea of the theory of decrementless conduction,Proceedings of the Japan Academy Series A Mathematical Sciences,3,no clear link to neural-network prehistory in title/source,ignore
1926,https://openalex.org/W2524811879,On Certain Averages in Periodogram Analysis,Tohoku Mathematical Journal,2,no clear link to neural-network prehistory in title/source,ignore
1926,https://openalex.org/W2198749172,CYLINDER-TEMPERATURE CONTROL BY EVAPORATION,SAE technical papers on CD-ROM/SAE technical paper series,1,"plausible logic, computation, circuit, or network prehistory",keep
1926,https://openalex.org/W1991877487,Electrical Research Applied to the Phonograph,Scientific American,1,"plausible logic, computation, circuit, or network prehistory",keep
1926,https://openalex.org/W1989672898,A METHOD OF ANALYZING STATISTICAL DATA BY CODING ON AN ADDING MACHINE,American journal of public health,0,"plausible information, communication, or signalling prehistory",keep
1926,https://openalex.org/W3204677650,A New Method for Laying off Rectangular Sample Plots,Journal of Forestry,0,no clear link to neural-network prehistory in title/source,ignore
1926,https://openalex.org/W2067824796,A self-starting phonic motor,Journal of Scientific Instruments,0,"plausible nervous-system, psychology, or learning prehistory",keep
1926,https://openalex.org/W3217657233,Afflux-voltmeter for magnetic tests,Journal of the A.I.E.E.,0,no clear link to neural-network prehistory in title/source,ignore
1926,https://openalex.org/W4248813620,Book Review: Electronomy,Journal of Education,0,no clear link to neural-network prehistory in title/source,ignore
1926,https://openalex.org/W2247915967,Construction of SaskatoonIncinerator.,,0,no clear link to neural-network prehistory in title/source,ignore
1926,https://openalex.org/W2797226841,Elements of Statistics.,Journal Of The Royal Statistical Society,0,plausible statistical or probabilistic method prehistory,keep
1926,https://openalex.org/W4245697934,Interpretation of deviations from Ohm's law,Journal of the Franklin Institute,0,no clear link to neural-network prehistory in title/source,ignore
1926,https://openalex.org/W868747122,On the Deduction of Characteristic Equation by the Method of Virial,Proceedings of the Physico-Mathematical Society of Japan. 3rd Series,0,no clear link to neural-network prehistory in title/source,ignore
1926,https://openalex.org/W4236712137,XV. The Effect of Leakage at the Edges upon the Temperatures within a Homogeneous Lamina through which Heat is being Conducted,Harvard University Press eBooks,0,no clear link to neural-network prehistory in title/source,ignore
1927,https://openalex.org/W2093409912,Report on a revision of the conductivity theory,Transactions of the Faraday Society,76,no clear link to neural-network prehistory in title/source,ignore
1927,https://openalex.org/W2054140452,Boucherot's constant-current networks and their relation to electric wave filters,The journal of the Institution of Electrical Engineers,16,"plausible logic, computation, circuit, or network prehistory",keep
1927,https://openalex.org/W1986615914,Analyzer for Complex Electric Waves,Bell System Technical Journal,7,no clear link to neural-network prehistory in title/source,ignore
1927,https://openalex.org/W2005802541,Correlation Coefficients and the Theory of Mental Abilities,Nature,4,plausible statistical or probabilistic method prehistory,keep
1927,https://openalex.org/W1574845052,A Statistical Study of Certain Aspects of the Time Factor in Intelligence,Teachers College Record The Voice of Scholarship in Education,3,plausible statistical or probabilistic method prehistory,keep
1927,https://openalex.org/W3012098170,Possible Local Cloud of Absorbing Matter.,HarCi,1,no clear link to neural-network prehistory in title/source,ignore
1927,https://openalex.org/W2317431857,The Normal Probability Function and General Frequency Functions,American Journal of Mathematics,1,plausible statistical or probabilistic method prehistory,keep
1927,https://openalex.org/W2950577188,An Electrical Stimulus Which Can Be Accurately Measured,UNI ScholarWorks (University of Northern Iowa),0,"plausible nervous-system, psychology, or learning prehistory",keep
1927,https://openalex.org/W4232048078,Book Review: Matrices and Determinoids,Bulletin of the American Mathematical Society,0,no clear link to neural-network prehistory in title/source,ignore
1927,https://openalex.org/W4237011165,Elements of Statistics.,Journal Of The Royal Statistical Society,0,plausible statistical or probabilistic method prehistory,keep
1927,https://openalex.org/W632298936,Essentials of electrical work,Medical Entomology and Zoology,0,no clear link to neural-network prehistory in title/source,ignore
1927,https://openalex.org/W2014814943,Non-harmonic alternating currents,Journal of the A.I.E.E.,0,no clear link to neural-network prehistory in title/source,ignore
1927,https://openalex.org/W2461787618,The Lexis theory,The Carus mathematical monographs,0,no clear link to neural-network prehistory in title/source,ignore
1927,https://openalex.org/W3083545644,The Measurement of the Intensity of Spectrum Lines.,Harvard College Observatory Circular,0,no clear link to neural-network prehistory in title/source,ignore
1927,https://openalex.org/W2085885441,The Nuptial Pad of Kammerer's Water-bred Alytes,Nature,0,no clear link to neural-network prehistory in title/source,ignore
1928,https://openalex.org/W1545744341,Transmission of Information1,Bell System Technical Journal,1824,"plausible information, communication, or signalling prehistory",keep
1928,https://openalex.org/W2324707440,On the composition of elementary errors,Scandinavian Actuarial Journal,166,plausible statistical or probabilistic method prehistory,keep
1928,https://openalex.org/W4299831162,Frequency Curves and Correlation.,Journal Of The Royal Statistical Society,68,plausible statistical or probabilistic method prehistory,keep
1928,https://openalex.org/W1969657124,Distortion Correction in Electrical Circuits with Constant Resistance Recurrent Networks,Bell System Technical Journal,57,"plausible logic, computation, circuit, or network prehistory",keep
1928,https://openalex.org/W2043497277,On Quantitative Substitutional Analysis,Journal of the London Mathematical Society,11,no clear link to neural-network prehistory in title/source,ignore
1928,https://openalex.org/W2070229260,A learning curve equation as fitted to learning records.,Psychological Review,5,"plausible nervous-system, psychology, or learning prehistory",keep
1928,https://openalex.org/W2111794420,"A new interference method of measuring the surface area of film catalysts.—Part II. Nickel—A method of preparation of the film, and an apparatus for activation, and study of the surface area",Proceedings of the Royal Society of London Series A Containing Papers of a Mathematical and Physical Character,0,no clear link to neural-network prehistory in title/source,ignore
1928,https://openalex.org/W1966581050,A Pearson-r form for use with calculating machines.,Journal of Educational Psychology,0,"plausible logic, computation, circuit, or network prehistory",keep
1928,https://openalex.org/W4232925607,An Expression for the Asymmetrical Tendency of Frequency Distributions,Journal of the American Statistical Association,0,no clear link to neural-network prehistory in title/source,ignore
1928,https://openalex.org/W4238803056,Book Review: Strayer-Upton Arithmetics,Journal of Education,0,no clear link to neural-network prehistory in title/source,ignore
1928,https://openalex.org/W4245423789,Book Review: Strayer-Upton Arithmetics,Journal of Education,0,no clear link to neural-network prehistory in title/source,ignore
1928,https://openalex.org/W624955870,Decimalskattningen vid avläsning av symmetriska skalor,,0,no clear link to neural-network prehistory in title/source,ignore
1928,https://openalex.org/W2999502098,Spectral classification and the Henry Draper Extension (abstract),Popular Astronomy,0,no clear link to neural-network prehistory in title/source,ignore
1928,https://openalex.org/W2021174667,Sulle Relazioni Intercedenti Era Le Varie Statistiche E La Meccanica Ondulatoria,Il Nuovo Cimento,0,plausible statistical or probabilistic method prehistory,keep
1929,https://openalex.org/W2049816400,The Interionic Attraction Theory of Electrical Conductance.,Chemical Reviews,14,no clear link to neural-network prehistory in title/source,ignore
1929,https://openalex.org/W2033760983,Revision of the Value of e/m Derived from Measurements of the Zeeman Effect,The Astrophysical Journal,13,no clear link to neural-network prehistory in title/source,ignore
1929,https://openalex.org/W2082412009,Functions of Real Variables.,American Mathematical Monthly,8,no clear link to neural-network prehistory in title/source,ignore
1929,https://openalex.org/W2313250658,Entropy and Probability,The Journal of Physical Chemistry,6,plausible statistical or probabilistic method prehistory,keep
1929,https://openalex.org/W2600642081,EXPERIMENTAL ERROR. A Survey of Recent Advances in Statistical Method.,,3,plausible statistical or probabilistic method prehistory,keep
1929,https://openalex.org/W2101050305,The Electrical Transmission of Pictures and Images,Proceedings of the IRE,3,"plausible information, communication, or signalling prehistory",keep
1929,https://openalex.org/W2329871510,The Influence of Repetition of a Series upon the Omission of Its Intermediate Terms,The American Journal of Psychology,2,no clear link to neural-network prehistory in title/source,ignore
1929,https://openalex.org/W2328750324,"Classes of Functions, Orthogonal on an Infinite Interval, Having the Power of the Continuum",Journal of Mathematics and Physics,1,no clear link to neural-network prehistory in title/source,ignore
1929,https://openalex.org/W2241883528,Rapporti inattesi fra alcuni rami della matematica,Dialnet (Universidad de la Rioja),1,no clear link to neural-network prehistory in title/source,ignore
1929,https://openalex.org/W2313535372,Abridgment of a new automatic synchronizer,Journal of the A.I.E.E.,0,no clear link to neural-network prehistory in title/source,ignore
1929,https://openalex.org/W4239838502,Blocking-Out Undesirable Backgrounds in Photographs,Science,0,"plausible logic, computation, circuit, or network prehistory",keep
1929,https://openalex.org/W4232250470,Electrical definitions,Journal of the A.I.E.E.,0,no clear link to neural-network prehistory in title/source,ignore
1929,https://openalex.org/W4250324399,GRAPHICAL REPRESENTATION OF THE REVERBERATION EQUATION,The Journal of the Acoustical Society of America,0,"plausible logic, computation, circuit, or network prehistory",keep
1929,https://openalex.org/W2320542986,Speed indicator and frequency meter,Journal of the A.I.E.E.,0,no clear link to neural-network prehistory in title/source,ignore
1930,https://openalex.org/W633791213,Les statistiques quantiques et leurs applications,Medical Entomology and Zoology,26,no clear link to neural-network prehistory in title/source,ignore
1930,https://openalex.org/W3036195417,Illusions in the perception of short time intervals,,18,"plausible nervous-system, psychology, or learning prehistory",keep
1930,https://openalex.org/W2077346450,A New Transformation in Alternating-Current Theory with an Application to the Theory of Audition,Proceedings of the IRE,15,no clear link to neural-network prehistory in title/source,ignore
1930,https://openalex.org/W1972945503,The retention and recognition of patterns in maze learning.,Journal of Experimental Psychology,14,"plausible nervous-system, psychology, or learning prehistory",keep
1930,https://openalex.org/W4213028716,Operational Circuit Analysis.,American Mathematical Monthly,9,"plausible logic, computation, circuit, or network prehistory",keep
1930,https://openalex.org/W2296251715,Frequency Division,Proceedings of the Institute of Radio Engineers,8,no clear link to neural-network prehistory in title/source,ignore
1930,https://openalex.org/W2039900511,On the determination of the parameters in an empirical formula,Proceedings of the Physical Society,4,no clear link to neural-network prehistory in title/source,ignore
1930,https://openalex.org/W2090529201,A Graphical Method for Fitting Curves to Learning Data,The Journal of General Psychology,3,"plausible nervous-system, psychology, or learning prehistory",keep
1930,https://openalex.org/W2044881875,A Paper on NERVOUS AND MENTAL MANIFESTATIONS OF THE CLIMACTERIC,BMJ,3,"plausible nervous-system, psychology, or learning prehistory",keep
1930,https://openalex.org/W2025780456,Recent research in the field of audition.,Psychological Bulletin,3,no clear link to neural-network prehistory in title/source,ignore
1930,https://openalex.org/W2326584146,Providing for Changes of Temperature in Volumetric Analysis,Industrial & Engineering Chemistry Analytical Edition,2,no clear link to neural-network prehistory in title/source,ignore
1930,https://openalex.org/W2326333132,Combining Constant Probability Functions,American Mathematical Monthly,1,plausible statistical or probabilistic method prehistory,keep
1930,https://openalex.org/W2462931177,V.—The General Expression for Boundary Conditions and the Limits of Correlation,Proceedings of the Royal Society of Edinburgh,1,plausible statistical or probabilistic method prehistory,keep
1930,https://openalex.org/W4238571351,Combining Constant Probability Functions,American Mathematical Monthly,0,plausible statistical or probabilistic method prehistory,keep
1930,https://openalex.org/W4235302377,Learning Series of Nonsense Syllables in Serial Order Measure,PsycTESTS Dataset,0,"plausible nervous-system, psychology, or learning prehistory",keep
1930,https://openalex.org/W2038219205,RECENT WARM-WEATHER TRENDS AS SHOWN BY GRAPHS OF ACCUMULATED TEMPERATURE,Monthly Weather Review,0,unrelated medicine/natural science/engineering,ignore
1930,https://openalex.org/W2288403431,The Graphical Solution of a Correlation Table,Transactions of the American Society of Civil Engineers,0,"plausible logic, computation, circuit, or network prehistory",keep
1931,https://openalex.org/W2335330008,Spectral Hue as a Function of Intensity,The American Journal of Psychology,171,no clear link to neural-network prehistory in title/source,ignore
1931,https://openalex.org/W2084819809,The Statistical Energy-Frequency Spectrum of Random Disturbances,Bell System Technical Journal,41,plausible statistical or probabilistic method prehistory,keep
1931,https://openalex.org/W2024795743,On the counting ability of a monkey (Macacus cynomolgus).,Journal of comparative psychology,16,"plausible nervous-system, psychology, or learning prehistory",keep
1931,https://openalex.org/W2018317225,Governor performance during system disturbances,Electrical Engineering,11,no clear link to neural-network prehistory in title/source,ignore
1931,https://openalex.org/W1966444140,Simplified Methods for Computing Regression Coefficients and Partial and Multiple Correlations,The Journal of Educational Research,9,"plausible logic, computation, circuit, or network prehistory",keep
1931,https://openalex.org/W2020667444,The automatic prediction of scholastic success by using the multiple regression technique with electric tabulating and accounting machines.,Journal of Educational Psychology,4,"plausible logic, computation, circuit, or network prehistory",keep
1931,https://openalex.org/W1983237554,Classification of Sizes or Measures by Frequency Functions,Journal of the American Statistical Association,3,no clear link to neural-network prehistory in title/source,ignore
1931,https://openalex.org/W4241525937,Classification of Sizes or Measures by Frequency Functions,Journal of the American Statistical Association,1,no clear link to neural-network prehistory in title/source,ignore
1931,https://openalex.org/W2468777654,OBSERVATIONS ON THE SYMPATHETIC NERVOUS SYSTEM.,PubMed Central,1,"plausible nervous-system, psychology, or learning prehistory",keep
1931,https://openalex.org/W4299574965,A WELL-MERITED RECOGNITION.,PubMed,0,"plausible nervous-system, psychology, or learning prehistory",keep
1931,https://openalex.org/W2094900313,An electric time marker for self-recording instruments,Journal of Scientific Instruments,0,no clear link to neural-network prehistory in title/source,ignore
1931,https://openalex.org/W2616771478,Book Review: Leçons sur les Ensembles Analytiques et leurs Applications,Bulletin of the American Mathematical Society,0,no clear link to neural-network prehistory in title/source,ignore
1931,https://openalex.org/W3049676679,Concerning the Bimonthly Predictions of Long Period Variables,Harvard College Observatory Bulletin,0,plausible statistical or probabilistic method prehistory,keep
1931,https://openalex.org/W2114203717,On Writer's Cramp and Other Occupation Neuroses,Journal of Mental Science,0,"plausible nervous-system, psychology, or learning prehistory",keep
1931,https://openalex.org/W650900028,Vector representation for electrical metermen,Virtual Defense Library (Ministerio de Defensa),0,no clear link to neural-network prehistory in title/source,ignore
1932,https://openalex.org/W2125461761,The theory of electric and magnetic susceptibilities,,2039,no clear link to neural-network prehistory in title/source,ignore
1932,https://openalex.org/W2006608250,The goal-gradient hypothesis and maze learning.,Psychological Review,596,"plausible nervous-system, psychology, or learning prehistory",keep
1932,https://openalex.org/W2320903144,AN EQUATION FOR THE REPRESENTATION OF HIGH-TEMPERATURE HEAT CONTENT DATA1,Journal of the American Chemical Society,420,unrelated medicine/natural science/engineering,ignore
1932,https://openalex.org/W2063634322,The effect of rate of sequence upon the accuracy of synchronization.,Journal of Experimental Psychology,90,"plausible information, communication, or signalling prehistory",keep
1932,https://openalex.org/W2012386335,"Western Electric Noiseless Recording&lt;!--&lt;xref ref-type=""fn"" rid=""fn110.5594_J05521""&gt;*&lt;/xref&gt;--&gt;",Journal of the Society of Motion Picture Engineers,13,"plausible information, communication, or signalling prehistory",keep
1932,https://openalex.org/W2074156607,New applications of non-linear circuits to relay and control problems,Electrical Engineering,4,"plausible logic, computation, circuit, or network prehistory",keep
1932,https://openalex.org/W1978220303,Voltage-Frequency Relationships in Action Currents,Science,2,no clear link to neural-network prehistory in title/source,ignore
1932,https://openalex.org/W2994603515,The Theory of Complex Spectra.,,1,no clear link to neural-network prehistory in title/source,ignore
1932,https://openalex.org/W2471620549,VII.—On Charlier's New Form of the Frequency Function,Proceedings of the Royal Society of Edinburgh,1,no clear link to neural-network prehistory in title/source,ignore
1932,https://openalex.org/W4245526629,Cones are Highly Developed Rods.,,0,no clear link to neural-network prehistory in title/source,ignore
1932,https://openalex.org/W4255772095,On the Coefficient of Part Correlation,Journal of the American Statistical Association,0,plausible statistical or probabilistic method prehistory,keep
1932,https://openalex.org/W2090871636,ROAD TRAFFIC SIGNALS,BMJ,0,"plausible information, communication, or signalling prehistory",keep
1932,https://openalex.org/W4210717446,Statistics electrical,Journal of the Franklin Institute,0,plausible statistical or probabilistic method prehistory,keep
1932,https://openalex.org/W2088253971,The regulated alternating current as a time measure.,Journal of Experimental Psychology,0,no clear link to neural-network prehistory in title/source,ignore
1932,https://openalex.org/W3023078246,The Specific Heats of Organic Liquids.,PhDT,0,no clear link to neural-network prehistory in title/source,ignore
1932,https://openalex.org/W2011765617,THE ZÜND-BURGUET METHOD IN VERTIGO.,The Lancet,0,no clear link to neural-network prehistory in title/source,ignore
1932,https://openalex.org/W4254005117,Time-Signal Recording,Seismological Research Letters,0,"plausible information, communication, or signalling prehistory",keep
1932,https://openalex.org/W4300915604,TRANSACTIONS OF SIXTY-FIRST ANNUAL SESSION.,PubMed,0,no clear link to neural-network prehistory in title/source,ignore
1932,https://openalex.org/W3177147766,"Vector Analysis with Applications to Physics. By R. Gans. Translated by W. M. Deans. Pp. x, 164. 12s. 6d. 1932. (Blackie)",The Mathematical Gazette,0,no clear link to neural-network prehistory in title/source,ignore
